PassengerId,Name,Sex,Age,Parch,Fare,Cabin,Embarked,Birthday,Board time,Married since,all_NA
112,"Zabour, Miss. Hileni",female,14,0,14.4542,,C,1917-03-24,16:53:09,2022-08-02 17:28:54,
113,"Barton, Mr. David John",male,22,0,8.05,,S,1925-03-18,12:46:27,2022-08-11 00:35:16,
114,"Jussila, Miss. Katriina",female,20,0,9.825,,S,1934-02-28,14:54:52,2022-07-22 01:01:46,
115,"Attalah, Miss. Malake",female,17,0,14.4583,,C,1915-05-16,,2022-07-29 05:47:21,
116,"Pekoniemi, Mr. Edvard",male,21,0,7.925,,S,1936-04-16,,2022-07-25 16:36:48,
117,"Connors, Mr. Patrick",male,70,0,7.75,,Q,1918-09-17,13:39:02,2022-07-22 20:03:46,
118,"Turpin, Mr. William John Robert",male,29,0,21.0,,S,1933-08-03,17:05:43,2022-08-15 06:55:41,
119,"Baxter, Mr. Quigg Edmond",male,24,1,247.5208,B58 B60,C,1908-06-18,15:02:35,2022-07-25 01:21:06,
120,"Andersson, Miss. Ellis Anna Maria",female,2,2,31.275,,S,1922-09-07,14:18:11,2022-07-23 11:32:15,
121,"Hickman, Mr. Stanley George",male,21,0,73.5,,S,1932-07-10,13:09:56,2022-08-09 11:52:16,
122,"Moore, Mr. Leonard Charles",male,,0,8.05,,S,1913-06-18,14:39:43,2022-08-14 06:44:39,
123,"Nasser, Mr. Nicholas",male,32,0,30.0708,,C,,18:35:27,2022-07-29 10:06:54,
124,"Webber, Miss. Susan",female,32,0,13.0,E101,S,1908-01-17,13:15:19,,
125,"White, Mr. Percival Wayland",male,54,1,77.2875,D26,S,1938-10-07,13:29:02,,
126,"Nicola-Yarred, Master. Elias",male,12,0,11.2417,,C,1917-09-03,16:21:45,2022-08-10 01:46:14,
127,"McMahon, Mr. Martin",male,,0,7.75,,Q,1937-06-13,10:59:21,2022-08-02 19:07:56,
128,"Madsen, Mr. Fridtjof Arne",male,24,0,7.1417,,S,1929-01-02,13:58:41,2022-07-22 19:08:48,
129,"Peter, Miss. Anna",female,,1,22.3583,F E69,C,1919-03-10,13:14:53,2022-07-16 16:32:07,
130,"Ekstrom, Mr. Johan",male,45,0,6.975,,S,1909-02-16,11:30:45,2022-08-09 04:44:24,
131,"Drazenoic, Mr. Jozef",male,33,0,7.8958,,C,1905-06-16,15:06:21,2022-08-13 23:53:32,
132,"Coelho, Mr. Domingos Fernandeo",male,20,0,7.05,,S,1926-09-03,18:00:30,2022-08-14 05:37:15,
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,0,14.5,,S,1925-10-11,13:01:40,2022-08-04 04:52:59,
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,0,26.0,,S,1919-02-15,16:31:14,2022-07-29 23:16:20,
135,"Sobey, Mr. Samuel James Hayden",male,25,0,13.0,,S,1922-10-28,15:47:10,2022-08-13 09:23:30,
136,"Richard, Mr. Emile",male,23,0,15.0458,,C,1929-02-26,13:24:07,2022-07-24 10:13:23,
137,"Newsom, Miss. Helen Monypeny",female,19,2,26.2833,D47,S,1936-01-29,,2022-07-28 16:33:38,
138,"Futrelle, Mr. Jacques Heath",male,37,0,53.1,C123,S,,,2022-07-30 13:52:19,
139,"Osen, Mr. Olaf Elon",male,16,0,9.2167,,S,1922-10-12,14:23:35,2022-07-23 03:32:27,
140,"Giglio, Mr. Victor",male,24,0,79.2,B86,C,1910-02-06,11:33:57,2022-07-24 09:53:02,
141,"Boulos, Mrs. Joseph (Sultana)",female,,2,15.2458,,C,1933-01-12,14:17:30,2022-07-22 09:53:41,
142,"Nysten, Miss. Anna Sofia",female,22,0,7.75,,S,1930-10-12,17:29:09,2022-07-25 00:44:53,
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,0,15.85,,S,1907-05-23,,2022-07-19 10:01:33,
144,"Burke, Mr. Jeremiah",male,19,0,6.75,,Q,1930-10-24,14:25:47,2022-08-01 18:10:44,
145,"Andrew, Mr. Edgardo Samuel",male,18,0,11.5,,S,1922-01-30,17:11:23,2022-08-04 01:43:54,
146,"Nicholls, Mr. Joseph Charles",male,19,1,36.75,,S,1912-05-14,17:59:17,2022-07-20 12:35:34,
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,7.7958,,S,1906-01-04,11:01:50,2022-08-10 09:23:58,
148,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,34.375,,S,1911-07-15,13:35:56,,
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36,2,26.0,F2,S,1912-06-17,15:19:26,2022-07-19 14:43:29,
150,"Byles, Rev. Thomas Roussel Davids",male,42,0,13.0,,S,1903-07-29,13:09:58,2022-07-22 08:37:43,
151,"Bateman, Rev. Robert James",male,51,0,12.525,,S,1907-05-30,15:57:28,2022-07-15 15:30:19,
152,"Pears, Mrs. Thomas (Edith Wearne)",female,22,0,66.6,C2,S,1904-12-31,14:48:30,2022-08-10 09:28:41,
153,"Meo, Mr. Alfonzo",male,56,0,8.05,,S,1905-11-17,17:11:27,2022-08-02 05:33:03,
154,"van Billiard, Mr. Austin Blyler",male,40,2,14.5,,S,1939-10-02,13:36:57,2022-08-11 22:23:15,
155,"Olsen, Mr. Ole Martin",male,,0,7.3125,,S,1914-01-30,15:37:10,2022-07-30 06:41:46,
156,"Williams, Mr. Charles Duane",male,51,1,61.3792,,C,,14:16:47,2022-08-01 13:21:08,
157,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,7.7333,,Q,1921-08-15,13:27:51,2022-07-17 09:42:47,
158,"Corn, Mr. Harry",male,30,0,8.05,,S,1908-06-25,15:29:25,2022-07-27 18:34:54,
159,"Smiljanic, Mr. Mile",male,,0,8.6625,,S,1908-06-26,13:28:10,2022-08-09 22:42:16,
160,"Sage, Master. Thomas Henry",male,,2,69.55,,S,1923-08-19,16:05:17,2022-07-19 19:37:46,
161,"Cribb, Mr. John Hatfield",male,44,1,16.1,,S,1931-11-16,11:24:38,2022-07-24 07:13:44,
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,15.75,,S,1925-11-15,16:00:35,2022-07-25 10:34:57,
163,"Bengtsson, Mr. John Viktor",male,26,0,7.775,,S,,17:24:04,2022-07-22 13:43:57,
164,"Calic, Mr. Jovo",male,17,0,8.6625,,S,1937-03-08,,,
165,"Panula, Master. Eino Viljami",male,1,1,39.6875,,S,1919-06-18,18:27:08,,
166,"Goldsmith, Master. Frank John William ""Frankie""",male,9,2,20.525,,S,,16:04:27,2022-08-04 23:32:42,
167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,1,55.0,E33,S,1912-09-07,,2022-07-24 02:59:04,
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,4,27.9,,S,1917-03-05,,2022-08-05 00:13:44,
169,"Baumann, Mr. John D",male,,0,25.925,,S,1929-03-08,18:19:08,2022-07-17 20:46:46,
170,"Ling, Mr. Lee",male,28,0,56.4958,,S,1935-06-23,14:37:20,2022-07-28 16:17:22,
171,"Van der hoef, Mr. Wyckoff",male,61,0,33.5,B19,S,1938-11-06,,2022-07-21 23:31:20,
172,"Rice, Master. Arthur",male,4,1,29.125,,Q,1912-09-23,13:56:23,,
173,"Johnson, Miss. Eleanor Ileen",female,1,1,11.1333,,S,1932-09-16,16:22:50,2022-07-19 01:57:23,
174,"Sivola, Mr. Antti Wilhelm",male,21,0,7.925,,S,1918-07-19,12:46:55,2022-07-24 19:29:41,
175,"Smith, Mr. James Clinch",male,56,0,30.6958,A7,C,1930-12-13,15:05:45,2022-08-14 19:44:15,
176,"Klasen, Mr. Klas Albin",male,18,1,7.8542,,S,1933-01-30,15:50:22,2022-07-18 10:50:53,
177,"Lefebre, Master. Henry Forbes",male,,1,25.4667,,S,1919-11-24,17:58:05,2022-08-07 10:54:21,
178,"Isham, Miss. Ann Elizabeth",female,50,0,28.7125,C49,C,1936-08-18,15:06:41,2022-07-31 01:23:39,
179,"Hale, Mr. Reginald",male,30,0,13.0,,S,,16:22:58,2022-08-03 01:29:25,
180,"Leonard, Mr. Lionel",male,36,0,0.0,,S,1903-11-03,18:30:08,2022-08-01 12:31:40,
181,"Sage, Miss. Constance Gladys",female,,2,69.55,,S,1930-03-20,12:12:24,2022-08-01 12:47:30,
182,"Pernot, Mr. Rene",male,,0,15.05,,C,1934-01-02,18:17:11,,
183,"Asplund, Master. Clarence Gustaf Hugo",male,9,2,31.3875,,S,1919-09-02,15:14:00,2022-07-31 20:06:39,
184,"Becker, Master. Richard F",male,1,1,39.0,F4,S,1919-01-23,17:17:31,2022-08-03 19:25:51,
185,"Kink-Heilmann, Miss. Luise Gretchen",female,4,2,22.025,,S,1918-07-21,16:55:48,2022-08-05 19:26:08,
186,"Rood, Mr. Hugh Roscoe",male,,0,50.0,A32,S,1914-06-16,12:57:42,2022-08-10 15:29:12,
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,0,15.5,,Q,1920-06-16,11:07:44,2022-08-13 11:14:38,
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,26.55,,S,1930-04-27,15:46:43,2022-08-02 19:38:32,
189,"Bourke, Mr. John",male,40,1,15.5,,Q,1906-04-16,13:58:19,2022-07-24 04:06:42,
190,"Turcin, Mr. Stjepan",male,36,0,7.8958,,S,1904-10-21,16:51:09,2022-07-26 01:26:37,
191,"Pinsky, Mrs. (Rosa)",female,32,0,13.0,,S,1905-03-25,,2022-07-17 05:19:22,
192,"Carbines, Mr. William",male,19,0,13.0,,S,1926-08-08,13:00:59,2022-08-09 08:53:27,
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,0,7.8542,,S,1926-07-03,13:59:14,2022-07-21 21:36:27,
194,"Navratil, Master. Michel M",male,3,1,26.0,F2,S,1910-06-24,14:46:09,2022-07-15 19:06:06,
195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,27.7208,B4,C,1926-05-12,10:47:13,2022-08-13 03:48:04,
196,"Lurette, Miss. Elise",female,58,0,146.5208,B80,C,1931-02-19,12:18:02,2022-07-16 20:28:40,
197,"Mernagh, Mr. Robert",male,,0,7.75,,Q,1940-04-05,11:59:44,2022-08-03 05:59:01,
198,"Olsen, Mr. Karl Siegwart Andreas",male,42,1,8.4042,,S,1917-12-02,17:25:34,2022-07-31 11:01:55,
199,"Madigan, Miss. Margaret ""Maggie""",female,,0,7.75,,Q,1932-06-23,16:57:52,2022-07-23 00:26:19,
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,13.0,,S,1918-11-20,17:25:13,2022-08-07 23:11:09,
201,"Vande Walle, Mr. Nestor Cyriel",male,28,0,9.5,,S,1914-09-16,16:42:01,2022-07-20 23:52:53,
202,"Sage, Mr. Frederick",male,,2,69.55,,S,1915-08-26,12:28:07,2022-08-12 22:12:35,
203,"Johanson, Mr. Jakob Alfred",male,34,0,6.4958,,S,1927-04-18,17:51:40,2022-08-06 06:46:29,
204,"Youseff, Mr. Gerious",male,46,0,7.225,,C,1935-08-22,,2022-07-15 17:00:20,
205,"Cohen, Mr. Gurshon ""Gus""",male,18,0,8.05,,S,1926-07-28,11:38:43,2022-07-21 15:03:14,
206,"Strom, Miss. Telma Matilda",female,2,1,10.4625,G6,S,1926-01-17,15:21:21,,
207,"Backstrom, Mr. Karl Alfred",male,32,0,15.85,,S,1911-12-24,11:02:24,2022-07-28 08:05:43,
208,"Albimona, Mr. Nassef Cassem",male,26,0,18.7875,,C,1927-04-24,11:52:05,2022-08-07 22:53:43,
209,"Carr, Miss. Helen ""Ellen""",female,16,0,7.75,,Q,1910-02-22,13:00:07,2022-08-12 02:00:56,
210,"Blank, Mr. Henry",male,40,0,31.0,A31,C,,11:19:11,2022-07-26 21:43:29,
211,"Ali, Mr. Ahmed",male,24,0,7.05,,S,1909-01-27,15:22:23,2022-08-13 19:35:21,
212,"Cameron, Miss. Clear Annie",female,35,0,21.0,,S,1913-11-12,13:49:27,2022-08-08 21:55:41,
213,"Perkin, Mr. John Henry",male,22,0,7.25,,S,1926-12-03,12:56:20,2022-08-12 22:44:01,
214,"Givard, Mr. Hans Kristensen",male,30,0,13.0,,S,1931-11-22,15:48:25,2022-07-28 14:46:23,
215,"Kiernan, Mr. Philip",male,,0,7.75,,Q,1923-05-30,13:25:21,2022-08-04 19:26:03,
216,"Newell, Miss. Madeleine",female,31,0,113.275,D36,C,1932-07-19,18:16:04,2022-08-15 08:59:57,
217,"Honkanen, Miss. Eliina",female,27,0,7.925,,S,1930-12-28,12:31:38,2022-07-21 17:51:13,
218,"Jacobsohn, Mr. Sidney Samuel",male,42,0,27.0,,S,1939-09-14,12:48:57,2022-08-09 01:27:32,
219,"Bazzani, Miss. Albina",female,32,0,76.2917,D15,C,1940-01-27,12:33:29,2022-08-15 05:23:24,
220,"Harris, Mr. Walter",male,30,0,10.5,,S,1909-10-01,14:56:18,2022-07-24 02:29:07,
221,"Sunderland, Mr. Victor Francis",male,16,0,8.05,,S,1911-03-11,15:49:27,2022-08-09 02:32:06,
222,"Bracken, Mr. James H",male,27,0,13.0,,S,1939-08-25,11:01:15,2022-07-30 22:58:46,
223,"Green, Mr. George Henry",male,51,0,8.05,,S,1930-11-30,15:14:32,2022-08-11 09:51:11,
224,"Nenkoff, Mr. Christo",male,,0,7.8958,,S,1919-07-12,,2022-08-14 14:18:53,
225,"Hoyt, Mr. Frederick Maxfield",male,38,0,90.0,C93,S,1923-02-18,13:45:23,2022-08-10 00:01:26,
226,"Berglund, Mr. Karl Ivar Sven",male,22,0,9.35,,S,1907-09-27,12:15:45,2022-08-07 16:06:26,
227,"Mellors, Mr. William John",male,19,0,10.5,,S,1910-08-20,10:51:32,2022-08-07 13:04:09,
228,"Lovell, Mr. John Hall (""Henry"")",male,20,0,7.25,,S,1922-05-27,17:43:00,,
229,"Fahlstrom, Mr. Arne Jonas",male,18,0,13.0,,S,1928-07-22,13:16:34,,
230,"Lefebre, Miss. Mathilde",female,,1,25.4667,,S,1909-08-10,12:12:06,2022-07-22 17:32:02,
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,0,83.475,C83,S,1913-12-13,11:16:18,2022-07-26 02:25:26,
232,"Larsson, Mr. Bengt Edvin",male,29,0,7.775,,S,1932-05-31,14:05:31,,
233,"Sjostedt, Mr. Ernst Adolf",male,59,0,13.5,,S,1914-05-22,17:04:54,2022-08-05 05:56:02,
